App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,New_size,New_version,Income,Installs_log,Reviews_log,Price_log,Income_log,New_size_log,Action,Adventure,Arcade,Board,Card,Casino,Casual,Music,Puzzle,Racing,Role Playing,Simulation,Sports,Strategy,Trivia,Word
Helix Jump,GAME,4.2,1497361,33M,100000000.0,Free,0.0,Everyone,Action,2018-04-09,1.0.6,4.1 and up,33792.0,4.1,0.0,18.420680743952367,14.219214783294623,0.0,0.0,10.427979367065934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Block Puzzle,GAME,4.6,59800,7.8M,5000000.0,Free,0.0,Everyone,Puzzle,2018-03-06,2.9,2.3 and up,7987.2,2.3,0.0,15.424948470398375,10.998760939938723,0.0,0.0,8.985595539295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Angry Birds Rio,GAME,4.4,2610526,46M,100000000.0,Free,0.0,Everyone,Arcade,2018-07-03,2.6.9,4.1 and up,47104.0,4.1,0.0,18.420680743952367,14.775062291560966,0.0,0.0,10.760113202088547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Plants vs. Zombies FREE,GAME,4.4,4066989,69M,100000000.0,Free,0.0,Everyone 10+,Strategy,2018-07-06,2.2.00,4.1 and up,70656.0,4.1,0.0,18.420680743952367,15.218413480189367,0.0,0.0,11.165578310196713,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sonic Dash,GAME,4.5,3778921,75M,100000000.0,Free,0.0,Everyone,Arcade,2018-07-26,3.8.5.Go,4.1 and up,76800.0,4.1,0.0,18.420680743952367,15.144949077111791,0.0,0.0,11.248959919135764,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Candy Crush Soda Saga,GAME,4.4,6198563,67M,100000000.0,Free,0.0,Everyone,Casual,2018-07-10,1.118.4,4.1 and up,68608.0,4.1,0.0,18.420680743952367,15.639828048957982,0.0,0.0,11.136164424990419,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zombie Hunter King,GAME,4.3,10306,50M,1000000.0,Free,0.0,Mature 17+,Action,2018-08-01,1.0.8,2.3 and up,51200.0,2.3,0.0,13.815510557964274,9.24048152888817,0.0,0.0,10.843494811027599,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clash of Clans,GAME,4.6,44891723,98M,100000000.0,Free,0.0,Everyone 10+,Strategy,2018-07-15,10.322.16,4.1 and up,100352.0,4.1,0.0,18.420680743952367,17.619763992734818,0.0,0.0,11.516439284270025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kick the Buddy,GAME,4.3,1000417,Varies with device,50000000.0,Free,0.0,Teen,Action,2018-07-05,Varies with device,4.4 and up,,4.4,0.0,17.72753356339242,13.815927471043937,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Block Puzzle Classic Legend !,GAME,4.2,17039,4.9M,5000000.0,Free,0.0,Everyone,Puzzle,2018-04-13,2.9,2.3.3 and up,5017.6,2.3.3,0.0,15.424948470398375,9.74326011321524,0.0,0.0,8.520707010716034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PAC-MAN,GAME,4.2,685981,37M,100000000.0,Free,0.0,Everyone,Arcade,2018-05-15,6.6.3,4.1 and up,37888.0,4.1,0.0,18.420680743952367,13.438605209531456,0.0,0.0,10.542389718243678,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Super Jim Jump - pixel 3d,GAME,4.5,10393,18M,1000000.0,Free,0.0,Everyone,Arcade,2018-07-11,2.2.3181,4.0 and up,18432.0,4.0,0.0,13.815510557964274,9.248887781588422,0.0,0.0,9.821843563495618,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8 Ball Pool,GAME,4.5,14198297,52M,100000000.0,Free,0.0,Everyone,Sports,2018-07-31,4.0.0,4.0.3 and up,53248.0,4.0.3,0.0,18.420680743952367,16.4686325858019,0.0,0.0,10.882715524180881,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Magic Tiles 3,GAME,4.5,592068,Varies with device,50000000.0,Free,0.0,Everyone,Music,2018-08-03,5.13.007,4.1 and up,,4.1,0.0,17.72753356339242,13.291376772134544,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bubble Witch 3 Saga,GAME,4.7,1732263,78M,50000000.0,Free,0.0,Everyone,Puzzle,2018-07-17,4.8.4,3.0 and up,79872.0,3.0,0.0,17.72753356339242,14.364939204151899,0.0,0.0,11.288180632289045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Word Search,GAME,4.7,295241,3.9M,10000000.0,Free,0.0,Everyone,Word,2018-06-06,1.1.3,3.0 and up,3993.6,3.0,0.0,16.11809565095832,12.595547250953175,0.0,0.0,8.292448358735054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Granny,GAME,4.5,1135631,59M,50000000.0,Free,0.0,Teen,Arcade,2018-05-29,1.4.0.1,4.0 and up,60416.0,4.0,0.0,17.72753356339242,13.942699001552848,0.0,0.0,11.009009249505173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angry Birds Classic,GAME,4.4,5566669,97M,100000000.0,Free,0.0,Everyone,Arcade,2018-05-24,7.9.3,4.1 and up,99328.0,4.1,0.0,18.420680743952367,15.532307407880463,0.0,0.0,11.506182784102837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flow Free,GAME,4.3,1295557,11M,100000000.0,Free,0.0,Everyone,Puzzle,2018-04-11,4.0,4.1 and up,11264.0,4.1,0.0,18.420680743952367,14.074451276472592,0.0,0.0,9.329367078397823,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Race the Traffic Moto,GAME,3.8,270687,38M,10000000.0,Free,0.0,Teen,Racing,2018-07-20,1.0.16,4.0.3 and up,38912.0,4.0.3,0.0,16.11809565095832,12.508718450806812,0.0,0.0,10.56905796532584,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fishdom,GAME,4.6,2157930,Varies with device,10000000.0,Free,0.0,Everyone,Puzzle,2018-07-19,2.21.5,4.0.3 and up,,4.0.3,0.0,16.11809565095832,14.584659986832035,0.0,0.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Galaxy Attack: Alien Shooter,GAME,4.6,506275,Varies with device,10000000.0,Free,0.0,Everyone,Arcade,2018-08-01,5.66,4.1 and up,,4.1,0.0,16.11809565095832,13.134835278899649,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Tsunami,GAME,4.4,4920817,Varies with device,100000000.0,Free,0.0,Everyone 10+,Arcade,2018-06-15,Varies with device,Varies with device,,0,0.0,18.420680743952367,15.408985131593138,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubble Shooter 2,GAME,4.3,23005,Varies with device,5000000.0,Free,0.0,Everyone,Arcade,2018-07-25,3.5,4.1 and up,,4.1,0.0,15.424948470398375,10.043466862589568,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbie™ Fashion Closet,GAME,4.1,68057,85M,10000000.0,Free,0.0,Everyone,Casual,2018-07-30,1.3.7,4.1 and up,87040.0,4.1,0.0,16.11809565095832,11.128100868329359,0.0,0.0,11.374123062089769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Candy Crush Jelly Saga,GAME,4.3,1300490,78M,50000000.0,Free,0.0,Everyone,Puzzle,2018-07-20,2.1.10,4.0 and up,79872.0,4.0,0.0,17.72753356339242,14.07825167449103,0.0,0.0,11.288180632289045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hill Climb Racing,GAME,4.4,8923587,63M,100000000.0,Free,0.0,Everyone,Racing,2018-07-02,1.37.2,4.2 and up,64512.0,4.2,0.0,18.420680743952367,16.004208553768418,0.0,0.0,11.074606531990986,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gardenscapes,GAME,4.6,4128732,Varies with device,50000000.0,Free,0.0,Everyone,Casual,2018-07-13,2.6.2,4.0.3 and up,,4.0.3,0.0,17.72753356339242,15.23348089600461,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Marble - Temple Quest,GAME,4.3,42053,24M,10000000.0,Free,0.0,Everyone,Puzzle,2018-06-21,4.9,4.0.3 and up,24576.0,4.0.3,0.0,16.11809565095832,10.646686006494784,0.0,0.0,10.1095256359474,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Shooting King,GAME,4.4,257724,69M,10000000.0,Free,0.0,Everyone 10+,Sports,2018-05-25,1.4.2,4.0.3 and up,70656.0,4.0.3,0.0,16.11809565095832,12.459644523852296,0.0,0.0,11.165578310196713,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zombie Catchers,GAME,4.7,990491,75M,10000000.0,Free,0.0,Everyone,Action,2018-05-24,1.0.27,4.1 and up,76800.0,4.1,0.0,16.11809565095832,13.80595605875942,0.0,0.0,11.248959919135764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minion Rush: Despicable Me Official Game,GAME,4.5,10216538,Varies with device,100000000.0,Free,0.0,Everyone 10+,Casual,2018-07-12,Varies with device,Varies with device,,0,0.0,18.420680743952367,16.139518337798105,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Farm Heroes Saga,GAME,4.4,7614130,70M,100000000.0,Free,0.0,Everyone,Casual,2018-07-26,5.1.8,2.3 and up,71680.0,2.3,0.0,18.420680743952367,15.845516289590224,0.0,0.0,11.179967047648812,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Geometry Dash World,GAME,4.6,760628,63M,10000000.0,Free,0.0,Everyone,Arcade,2017-12-22,1.03,4.0 and up,64512.0,4.0,0.0,16.11809565095832,13.541899686841047,0.0,0.0,11.074606531990986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
My Talking Angela,GAME,4.5,9881829,99M,100000000.0,Free,0.0,Everyone,Casual,2018-07-03,3.7.2.51,4.1 and up,101376.0,4.1,0.0,18.420680743952367,16.106208174048678,0.0,0.0,11.526591655734043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cut the Rope FULL FREE,GAME,4.4,2123381,49M,100000000.0,Free,0.0,Everyone,Puzzle,2018-07-05,3.7.2,4.1 and up,50176.0,4.1,0.0,18.420680743952367,14.568520187607854,0.0,0.0,10.823292103710079,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7671249,Varies with device,100000000.0,Free,0.0,Mature 17+,Action,2018-08-02,Varies with device,Varies with device,,0,0.0,18.420680743952367,15.852990002328584,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subway Surfers,GAME,4.5,27723193,76M,1000000000.0,Free,0.0,Everyone 10+,Arcade,2018-07-12,1.90.0,4.1 and up,77824.0,4.1,0.0,20.72326583694641,17.137779913242582,0.0,0.0,11.262205145885785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ROBLOX,GAME,4.5,4447346,67M,100000000.0,Free,0.0,Everyone 10+,Adventure,2018-07-31,2.347.225742,4.1 and up,68608.0,4.1,0.0,18.420680743952367,15.307818071728136,0.0,0.0,11.136164424990419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pou,GAME,4.3,10485334,24M,500000000.0,Free,0.0,Everyone,Casual,2018-05-25,1.4.77,4.0 and up,24576.0,4.0,0.0,20.030118656386467,16.165488076841793,0.0,0.0,10.1095256359474,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8 Ball Pool,GAME,4.5,14198602,52M,100000000.0,Free,0.0,Everyone,Sports,2018-07-31,4.0.0,4.0.3 and up,53248.0,4.0.3,0.0,18.420680743952367,16.468654067020676,0.0,0.0,10.882715524180881,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Candy Crush Saga,GAME,4.4,22428456,74M,500000000.0,Free,0.0,Everyone,Casual,2018-07-05,1.129.0.2,4.1 and up,75776.0,4.1,0.0,20.030118656386467,16.92584106774721,0.0,0.0,11.235536898803623,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Plants vs. Zombies FREE,GAME,4.4,4066980,69M,100000000.0,Free,0.0,Everyone 10+,Strategy,2018-07-06,2.2.00,4.1 and up,70656.0,4.1,0.0,18.420680743952367,15.218411267247568,0.0,0.0,11.165578310196713,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cooking Fever,GAME,4.5,3197865,82M,100000000.0,Free,0.0,Everyone,Arcade,2018-07-12,2.8.0,4.0.3 and up,83968.0,4.0.3,0.0,18.420680743952367,14.977993957601328,0.0,0.0,11.338191052863706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Toon Blast,GAME,4.7,1351068,Varies with device,10000000.0,Free,0.0,Everyone,Puzzle,2018-07-30,3196,4.1 and up,,4.1,0.0,16.11809565095832,14.11640594876227,0.0,0.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Score! Hero,GAME,4.6,5418675,96M,100000000.0,Free,0.0,Everyone,Sports,2018-06-13,1.751,4.4 and up,98304.0,4.4,0.0,18.420680743952367,15.505361878584754,0.0,0.0,11.49581999706729,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
My Talking Angela,GAME,4.5,9881908,99M,100000000.0,Free,0.0,Everyone,Casual,2018-07-03,3.7.2.51,4.1 and up,101376.0,4.1,0.0,18.420680743952367,16.106216168488192,0.0,0.0,11.526591655734043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bubble Shooter,GAME,4.5,148895,46M,10000000.0,Free,0.0,Everyone,Casual,2018-07-17,1.20.1,4.0.3 and up,47104.0,4.0.3,0.0,16.11809565095832,11.910996638524681,0.0,0.0,10.760113202088547,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Toy Blast,GAME,4.7,1889250,Varies with device,50000000.0,Free,0.0,Everyone,Puzzle,2018-07-23,5423,4.1 and up,,4.1,0.0,17.72753356339242,14.451690482882967,0.0,0.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,183846,99M,10000000.0,Free,0.0,Everyone,Action,2018-07-30,1.0.6,4.4 and up,101376.0,4.4,0.0,16.11809565095832,12.121853729625723,0.0,0.0,11.526591655734043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wordscapes,GAME,4.8,230710,87M,10000000.0,Free,0.0,Everyone,Word,2018-08-02,1.0.47,4.1 and up,89088.0,4.1,0.0,16.11809565095832,12.348916789559654,0.0,0.0,11.397379924254038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Word Search,GAME,4.7,295305,3.9M,10000000.0,Free,0.0,Everyone,Word,2018-06-06,1.1.3,3.0 and up,3993.6,3.0,0.0,16.11809565095832,12.595763999522298,0.0,0.0,8.292448358735054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Candy Crush Soda Saga,GAME,4.4,6198880,67M,100000000.0,Free,0.0,Everyone,Casual,2018-07-10,1.118.4,4.1 and up,68608.0,4.1,0.0,18.420680743952367,15.639879188535728,0.0,0.0,11.136164424990419,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Garena Free Fire,GAME,4.5,5465624,53M,100000000.0,Free,0.0,Teen,Action,2018-08-03,1.21.0,4.0.3 and up,54272.0,4.0.3,0.0,18.420680743952367,15.513988854227394,0.0,0.0,10.901763719151575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Block Puzzle,GAME,4.6,59854,7.8M,5000000.0,Free,0.0,Everyone,Puzzle,2018-03-06,2.9,2.3 and up,7987.2,2.3,0.0,15.424948470398375,10.999663542503887,0.0,0.0,8.985595539295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bowmasters,GAME,4.7,1534466,Varies with device,50000000.0,Free,0.0,Teen,Action,2018-07-23,2.12.5,4.1 and up,,4.1,0.0,17.72753356339242,14.243692995742041,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clash Royale,GAME,4.6,23134775,97M,100000000.0,Free,0.0,Everyone 10+,Strategy,2018-06-27,2.3.2,4.1 and up,99328.0,4.1,0.0,18.420680743952367,16.956847454751845,0.0,0.0,11.506182784102837,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
My Talking Tom,GAME,4.5,14891223,Varies with device,500000000.0,Free,0.0,Everyone,Casual,2018-07-19,4.8.0.132,4.1 and up,,4.1,0.0,20.030118656386467,16.51628253694876,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7672495,Varies with device,100000000.0,Free,0.0,Mature 17+,Action,2018-08-02,Varies with device,Varies with device,,0,0.0,18.420680743952367,15.853152413797744,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granny,GAME,4.5,1137271,59M,50000000.0,Free,0.0,Teen,Arcade,2018-05-29,1.4.0.1,4.0 and up,60416.0,4.0,0.0,17.72753356339242,13.944142090858598,0.0,0.0,11.009009249505173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angry Birds Rio,GAME,4.4,2610622,46M,100000000.0,Free,0.0,Everyone,Arcade,2018-07-03,2.6.9,4.1 and up,47104.0,4.1,0.0,18.420680743952367,14.77509906508281,0.0,0.0,10.760113202088547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Catchers,GAME,4.7,990586,75M,10000000.0,Free,0.0,Everyone,Action,2018-05-24,1.0.27,4.1 and up,76800.0,4.1,0.0,16.11809565095832,13.806051966187626,0.0,0.0,11.248959919135764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Hunter King,GAME,4.3,10354,50M,1000000.0,Free,0.0,Mature 17+,Action,2018-08-01,1.0.8,2.3 and up,51200.0,2.3,0.0,13.815510557964274,9.245128197461847,0.0,0.0,10.843494811027599,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temple Run 2,GAME,4.3,8118937,62M,500000000.0,Free,0.0,Everyone,Action,2018-07-05,1.49.1,4.0 and up,63488.0,4.0,0.0,20.030118656386467,15.909709792238175,0.0,0.0,11.058606190644545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Tsunami,GAME,4.4,4921122,Varies with device,100000000.0,Free,0.0,Everyone 10+,Arcade,2018-06-15,Varies with device,Varies with device,,0,0.0,18.420680743952367,15.409047111249809,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jungle Marble Blast,GAME,4.3,18985,23M,5000000.0,Free,0.0,Everyone,Casual,2018-07-23,1.5.4,4.0.3 and up,23552.0,4.0.3,0.0,15.424948470398375,9.851404472665903,0.0,0.0,10.066966021528604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rider,GAME,4.5,655067,72M,10000000.0,Free,0.0,Teen,Arcade,2017-07-17,1.2.1,4.0.3 and up,73728.0,4.0.3,0.0,16.11809565095832,13.392492799462453,0.0,0.0,11.208137924615508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Farm Heroes Saga,GAME,4.4,7614271,70M,100000000.0,Free,0.0,Everyone,Casual,2018-07-26,5.1.8,2.3 and up,71680.0,2.3,0.0,18.420680743952367,15.845534807621107,0.0,0.0,11.179967047648812,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super Jim Jump - pixel 3d,GAME,4.5,10434,18M,1000000.0,Free,0.0,Everyone,Arcade,2018-07-11,2.2.3181,4.0 and up,18432.0,4.0,0.0,13.815510557964274,9.252824983582338,0.0,0.0,9.821843563495618,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
slither.io,GAME,4.4,5234825,Varies with device,100000000.0,Free,0.0,Everyone,Action,2017-11-14,Varies with device,2.3 and up,,2.3,0.0,18.420680743952367,15.470843972883701,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roll the Ball® - slide puzzle,GAME,4.5,1385093,35M,100000000.0,Free,0.0,Everyone,Puzzle,2018-08-02,1.7.40,4.1 and up,35840.0,4.1,0.0,18.420680743952367,14.141277843363689,0.0,0.0,10.486819867088867,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Talking Tom Gold Run,GAME,4.6,2698348,78M,100000000.0,Free,0.0,Everyone,Action,2018-07-31,2.8.2.59,4.1 and up,79872.0,4.1,0.0,18.420680743952367,14.808150291864974,0.0,0.0,11.288180632289045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pixel Art: Color by Number Game,GAME,4.7,1125017,25M,10000000.0,Free,0.0,Everyone,Puzzle,2018-07-17,3.9.2,4.3 and up,25600.0,4.3,0.0,16.11809565095832,13.933308704617597,0.0,0.0,10.150347630467653,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dream League Soccer 2018,GAME,4.6,9882639,74M,100000000.0,Free,0.0,Everyone,Sports,2018-07-16,5.064,4.4 and up,75776.0,4.4,0.0,18.420680743952367,16.106290139320947,0.0,0.0,11.235536898803623,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Angry Birds Classic,GAME,4.4,5566805,97M,100000000.0,Free,0.0,Everyone,Arcade,2018-05-24,7.9.3,4.1 and up,99328.0,4.1,0.0,18.420680743952367,15.532331838709512,0.0,0.0,11.506182784102837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruits Bomb,GAME,4.4,74673,17M,10000000.0,Free,0.0,Everyone,Casual,2018-07-06,3.3.3179,4.0.3 and up,17408.0,4.0.3,0.0,16.11809565095832,11.220873860000504,0.0,0.0,9.76468514965567,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Traffic Racer,GAME,4.5,5387639,53M,100000000.0,Free,0.0,Everyone,Racing,2018-02-27,2.5,4.1 and up,54272.0,4.1,0.0,18.420680743952367,15.49961781352535,0.0,0.0,10.901763719151575,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hill Climb Racing 2,GAME,4.6,2750410,Varies with device,100000000.0,Free,0.0,Everyone,Racing,2018-08-02,1.17.2,4.2 and up,,4.2,0.0,18.420680743952367,14.8272605494389,0.0,0.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Flow Free,GAME,4.3,1295606,11M,100000000.0,Free,0.0,Everyone,Puzzle,2018-04-11,4.0,4.1 and up,11264.0,4.1,0.0,18.420680743952367,14.074489097327557,0.0,0.0,9.329367078397823,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Knife Hit,GAME,4.5,461137,60M,10000000.0,Free,0.0,Everyone,Arcade,2018-05-22,1.7.2,4.0.3 and up,61440.0,4.0.3,0.0,16.11809565095832,13.041450457872926,0.0,0.0,11.025816367821553,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,946926,57M,50000000.0,Free,0.0,Everyone,Simulation,2018-03-05,2.10.2,4.0.3 and up,58368.0,4.0.3,0.0,17.72753356339242,13.760976227615537,0.0,0.0,10.974523073434003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Farm Fruit Pop: Party Time,GAME,4.4,9305,14M,1000000.0,Free,0.0,Everyone,Casual,2018-08-02,1.9.2,4.0.3 and up,14336.0,4.0.3,0.0,13.815510557964274,9.13830716907635,0.0,0.0,9.570529135214711,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ROBLOX,GAME,4.5,4448791,67M,100000000.0,Free,0.0,Everyone 10+,Adventure,2018-07-31,2.347.225742,4.1 and up,68608.0,4.1,0.0,18.420680743952367,15.308142931836002,0.0,0.0,11.136164424990419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helix Jump,GAME,4.2,1498648,33M,100000000.0,Free,0.0,Everyone,Action,2018-04-09,1.0.6,4.1 and up,33792.0,4.1,0.0,18.420680743952367,14.220073926293969,0.0,0.0,10.427979367065934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subway Surfers,GAME,4.5,27724094,76M,1000000000.0,Free,0.0,Everyone 10+,Arcade,2018-07-12,1.90.0,4.1 and up,77824.0,4.1,0.0,20.72326583694641,17.137812412578395,0.0,0.0,11.262205145885785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
